priority,category,person_id,name,our_dob,candidate_qids,first_candidate_url
3,create,person-e3a95850e4c1,Nguyễn Chu Hồi,1952-05-15,,
3,create,person-f138993ca4a9,Nguyễn Duy Thanh,1983-03-12,,
3,create,person-610b740fcae4,Nguyễn Hoàng Bảo Trân,1975-06-22,,
3,create,person-7ec748f9b4b0,Nguyễn Hoàng Uyên,1976-06-24,,
3,create,person-d5a45f133c78,Nguyễn Huy Thái (Y Lan),1968-03-13,,
3,create,person-bb21895c36cf,Nguyễn Quang Huân,1964-12-20,,
3,create,person-a8a18176ded1,Nguyễn Thị Như Ý (VY),1973-11-02,,
3,create,person-bdc6ae8be0e9,Nguyễn Thị Quyên Thanh,1978-10-19,,
3,create,person-db9fbfd3a20f,"Nguyễn Thị Sửu (Nguyễn Thị Hường, Kê Sửu)",1973-11-09,,
3,create,person-1a97b070a768,Nguyễn Thị Thu Dung,1969-08-04,,
3,create,person-294ece5b5b80,Nguyễn Thị Thúy Ngọc,1982-07-22,,
3,create,person-283cdbe218f6,Nguyễn Thị Yến (Nguyễn Thị Phấn),1965-08-14,,
3,create,person-e74b09e84f09,Nguyễn Tiến Thiện (Thượng tọa Thích Đức Thiện),1966-04-05,,
3,create,person-11a9b585d807,Nguyễn Tuấn Thịnh,1971-04-22,,
3,create,person-e659a98a66db,Nguyễn Văn Riễn (Linh mục Nguyễn Văn Riễn),1955-12-20,,
3,create,person-0483aee6100f,Nguyễn Văn Thi,1968-04-11,,
3,create,person-e0f13fb7d207,Nguyễn Văn Thạnh (Lâm),1972-08-20,,
3,create,person-8d68e56c2ba4,Ngô Trung Thành,1975-01-29,,
3,create,person-eee304557141,Nàng Xô Vi,1996-02-11,,
3,create,person-e44189ed88ac,Phan Viết Lượng,1967-02-01,,
3,create,person-cbcc44cb3542,Phan Văn Xựng,1967-03-07,,
3,create,person-d97312bcaa1b,Phạm Thị Hồng Diễm,1979-01-01,,
3,create,person-5c41f97478c9,Phạm Thị Kiều,1981-10-20,,
3,create,person-9518776078cf,Phạm Thị Xuân,1991-10-11,,
3,create,person-ff2ad8dfbec5,Phạm Trọng Nhân (Út Nhân),1972-03-20,,
3,create,person-c6ea60fabf24,Quàng Thị Nguyệt,1997-11-01,,
3,create,person-a37db7105189,Rơ Châm H′Phik,1979-02-15,,
3,create,person-7ebf70495f70,Tao Văn Giót,1990-08-16,,
3,create,person-690950fda331,Thổ Út,1970-04-26,,
3,create,person-191cd7d53c45,Trương Xuân Cừ,1960-10-05,,
3,create,person-0b7ecbcac7c2,Trần Khánh Thu,1982-11-26,,
3,create,person-21033d4b40ed,Trần Quốc Quân,1987-10-02,,
3,create,person-fd248851ae2e,Trần Thị Thanh Lam,1979-09-29,,
3,create,person-6c268422b3ee,Trần Văn Nam (Trần Quốc Tuấn),1963-08-30,,
3,create,person-32c858d6ce80,Trần Văn Tiến,1962-05-05,,
3,create,person-943628a4a896,Trịnh Minh Bình,1977-08-22,,
3,create,person-abda1f507a14,Trịnh Thị Tú Anh,1980-08-17,,
3,create,person-3d2cdee16aa3,Võ Văn Kim (Vũ Trọng Kim),1953-03-23,,
3,create,person-3dc511ea241c,Vũ Huy Khánh,1974-07-02,,
3,create,person-49df5cb7ea20,Vũ Thị Liên Hương,1972-06-01,,
3,create,person-61f178597cac,Vương Thị Hương,1988-09-28,,
3,create,person-61bf5afe3ebc,Âu Thị Mai,1978-03-25,,
3,create,person-94a6f7fa305a,Đinh Ngọc Minh,1967-05-03,,
3,create,person-6e96155f2fb5,Đinh Thị Ngọc Dung,1985-11-26,,
3,create,person-66d1d947c34b,Đinh Thị Phương Lan,1976-06-05,,
3,create,person-4ee4265acedb,Đoàn Thị Lê An,1979-02-26,,
3,create,person-cb89f2621339,Đàng Thị Mỹ Hương,1973-06-24,,
3,create,person-fdd6c0b120d3,Đặng Minh Châu (Hòa thượng Thích Bảo Nghiêm),1956-12-27,,
3,create,person-8a4c208af5ce,Đặng Thị Bảo Trinh,1986-03-28,,
3,create,person-3c5e56e797de,Đỗ Huy Khánh,1977-05-30,,
